ID,名称,品质,美术材质ID,描述
SKIN_001,单色黑,White,MAT_SOLID_BLACK,基础的黑色喷涂，哑光质感
SKIN_002,军绿色,White,MAT_SOLID_OD_GREEN,标准军绿色，哑光金属质感
SKIN_003,沙漠黄,White,MAT_SOLID_DESERT,沙漠黄色喷涂，适合沙漠环境
SKIN_004,基础迷彩,Green,MAT_CAMO_BASIC,双色基础迷彩图案
SKIN_005,森林迷彩,Green,MAT_CAMO_FOREST,绿棕双色森林迷彩
SKIN_006,城市迷彩,Green,MAT_CAMO_URBAN,灰白双色城市迷彩
SKIN_007,条纹图案,Green,MAT_PATTERN_STRIPE,简单的条纹装饰图案
SKIN_008,都市迷彩,Blue,MAT_CAMO_URBAN_ADV,多色定制都市迷彩，更精细的图案
SKIN_009,丛林迷彩,Blue,MAT_CAMO_JUNGLE,深绿多色丛林迷彩
SKIN_010,沙漠迷彩,Blue,MAT_CAMO_DESERT_ADV,多色沙漠迷彩，渐变设计
SKIN_011,雪地迷彩,Blue,MAT_CAMO_SNOW,白灰蓝雪地迷彩
SKIN_012,渐变蓝,Blue,MAT_GRADIENT_BLUE,深蓝到浅蓝的渐变色，磨砂金属质感
SKIN_013,渐变红,Blue,MAT_GRADIENT_RED,深红到橙色的渐变设计
SKIN_014,荒野烈焰,Purple,MAT_WILDFIRE,荒野猎人阵营标志性涂装，红黄渐变色象征末世中不灭的火焰，金属光泽
SKIN_015,秩序之光,Purple,MAT_ORDER_LIGHT,秩序同盟涂装，蓝白配色象征秩序和希望，细节光泽
SKIN_016,黎明曙光,Purple,MAT_DAWN_LIGHT,黎明贸易团涂装，金橙渐变象征新的黎明，珠光质感
SKIN_017,龙纹,Purple,MAT_DRAGON_PATTERN,复杂的东方龙纹图案，黑金配色，金属光泽
SKIN_018,部落图腾,Purple,MAT_TRIBAL_TOTEM,原始部落图腾图案，白色图案黑色底，特殊纹理
SKIN_019,碳纤维,Purple,MAT_CARBON_FIBER,碳纤维材质纹理，科技感十足
SKIN_020,金属拉丝,Purple,MAT_BRUSHED_METAL,拉丝金属质感，工业美学
SKIN_021,传奇龙纹,Gold,MAT_DRAGON_LEGENDARY,"传说级龙纹涂装，全息投影效果，龙纹会""浮动""，发光边缘。这个涂装曾属于病毒爆发前的亚洲黑帮首领，据说他用带有此涂装的武器守护了整个社区直到撤离。"
SKIN_022,全息幽灵,Gold,MAT_HOLOGRAPHIC_GHOST,"全息幽灵图案，半透明效果，动态变化。传说中某个神秘狙击手的标志性涂装，从未有人见过他的真面目，只看到过这个幽灵般的涂装在废墟中闪现。"
SKIN_023,烈焰之心,Gold,MAT_FLAME_CORE,"火焰图案，发光边缘效果，击杀时特殊音效。荒野猎人阵营传说，涂装象征着在末世中不灭的战斗意志，每次击杀都会发出火焰燃烧的声音。"
SKIN_024,冰霜女王,Gold,MAT_FROST_QUEEN,"冰霜图案，发光蓝色细节，动态冰晶效果。据说这是一位前奥运射击冠军的定制涂装，她在病毒爆发后用冷静和精准拯救了无数生命，最终死守在医院门口。"
SKIN_025,黄金时代,Gold,MAT_GOLDEN_AGE,"金色珠光涂装，象征病毒前的黄金时代，发光效果。黎明贸易团的创始人用这个涂装提醒人们：我们曾经拥有的美好时光，以及我们要重建的未来。"
SKIN_026,末世之王,Gold,MAT_APOCALYPSE_KING,"传说级涂装，黑金配色，骷髅王冠图案，全息效果。荒野猎人中最强战士的标志，据说只有在最危险区域击杀Boss才有机会获得这个涂装。"
SKIN_027,荒野猎人标志,Purple,MAT_WILDCARD_EMBLEM,荒野猎人阵营徽章涂装，红黑配色，阵营专属
SKIN_028,秩序同盟标志,Purple,MAT_ORDER_EMBLEM,秩序同盟阵营徽章涂装，蓝白配色，阵营专属
SKIN_029,黎明贸易标志,Purple,MAT_DAWN_EMBLEM,黎明贸易团阵营徽章涂装，金橙配色，阵营专属
SKIN_030,数字迷彩,Blue,MAT_DIGI_CAMO,数字化迷彩图案，现代军事风格
